구분,년도,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
,항목,자산(*)(IFRS)(천원),유동자산(*)(IFRS)(천원),유동부채(*)(IFRS)(천원),이익잉여금(결손금)(*)(IFRS)(천원),매출액(수익)(*)(IFRS)(천원),매출원가(*)(IFRS)(천원),판매비와 관리비(물류원가 등 포함)(*)(IFRS)(천원),자본(*)(IFRS)(천원),부채(*)(IFRS)(천원),당기순이익(손실)(IFRS)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),부채비율(IFRS),유동비율(IFRS),* 발행한 주식총수(*)(IFRS)(천원),자산(*)(IFRS)(천원),유동자산(*)(IFRS)(천원),유동부채(*)(IFRS)(천원),이익잉여금(결손금)(*)(IFRS)(천원),매출액(수익)(*)(IFRS)(천원),매출원가(*)(IFRS)(천원),판매비와 관리비(물류원가 등 포함)(*)(IFRS)(천원),자본(*)(IFRS)(천원),부채(*)(IFRS)(천원),당기순이익(손실)(IFRS)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),부채비율(IFRS),유동비율(IFRS),* 발행한 주식총수(*)(IFRS)(천원)
회사명,거래소코드,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount
(주)만도,204320,2806053322,877869111,856777982,357273213,3323374073,2837548254,340903333,953930689,1852122633,85989917,-8337474,194.16,102.46,46957120,3166718893,1074633998,1096825741,339866859,3009765572,2678765491,341675700,1107669035,2059049858,20679047,286669982,185.89,97.98,46957120
(주)비지에프리테일,282330,2114202246,722518247,934735106,256384890,5943404080,4889095577,858864775,593593344,1520608903,149768379,531212667,256.17,77.3,17283906,2308304394,805009294,981318994,334482301,6167808904,5110630362,893514306,671458861,1636845533,125895224,502425017,243.77,82.03,17283906
(주)빙그레,005180,677017157,391782301,93124139,474543054,857206874,638020904,177403864,564827940,112189217,39718950,58962931,19.86,420.71,9851241,713759535,265902101,101168075,501269791,907529455,670867388,194296986,589788467,123971068,40702482,78821819,21.02,262.83,9851241
(주)삼양사,145990,1820281506,615294857,295246127,188660755,1550801257,1286124171,243576200,1054845303,765436203,17107917,83290952,72.56,208.4,10659873,1998093566,694106822,312376333,218530578,1524770095,1256161141,227951893,1095489758,902603808,40327703,118951238,82.39,222.2,10683519
(주)삼양홀딩스,000070,1607953228,305050343,12936307,1064775446,58119701,4027620,34355090,1386566900,221386328,20586944,22720089,15.97,2358.09,8868329,1709356850,374177135,36741617,1123165536,114140468,3889844,34005268,1462289265,247067584,74155260,38855146,16.9,1018.4,8868329
(주)셀트리온,068270,3708567680,1612955253,517564389,2114638598,981870269,413929010,208023653,2904711978,803855701,286281193,447415032,27.67,311.64,128337853,4808699737,2295458369,900571681,2616077814,1689786997,740794793,245688593,3448862395,1359837342,507799528,319161648,39.43,254.89,134997805
(주)신세계,004170,7265903911,401089345,1433868253,2792045874,1557606955,284751905,1050759270,3771201711,3494702200,705956105,308597072,92.67,27.97,9845181,7535083634,480403034,1977024027,2979029878,1459802056,292887599,1040113679,3606292228,3928791406,214085442,268000818,108.94,24.3,9845181
(주)신세계인터내셔날,031430,1011909930,362161699,267377463,373240982,1282444400,533245308,662482157,525854119,486055812,61140336,105486856,92.43,135.45,7140000,1059874930,366931069,278519610,425511972,1211404312,533276852,637383490,578452939,481421991,61610520,93051663,83.23,131.74,7140000
(주)신한금융지주회사,055550,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)아모레퍼시픽,090430,4950233655,1363248695,407790973,3728972263,3913830166,1165353569,2308003987,4375433772,574799883,329297061,471437112,13.14,334.3,69016320,4897611155,1389842162,343685510,3772263786,3016950983,999436136,1858739595,4418418516,479192640,104437154,327676633,10.85,404.39,69016320
(주)아모레퍼시픽그룹,002790,2038709896,569166584,16240887,1221903516,153702106,0,28624966,1987827031,50882866,118327675,130614469,2.56,3504.53,95994150,2001905919,413442693,21042537,1180145475,52397913,0,21564333,1945970039,55935880,-10934651,32163030,2.87,1964.79,95994150
(주)에스원,012750,1751616977,691060522,357658875,1258110858,2120328700,1576990099,353040713,1318704692,432912285,141011143,275716923,32.83,193.22,37999178,1849485638,742800460,382452249,1303955855,2189076458,1643176164,352863899,1364933545,484552094,132929645,333140287,35.5,194.22,37999178
(주)에스피씨삼립,005610,954761884,219126651,297978433,297850047,1186835435,903963405,234982871,316214626,638547258,32567347,73669453,201.93,73.54,8629009,945638158,208818248,401876587,279832701,1265460902,955064352,265690465,298281132,647357026,-10401063,99430039,217.03,51.96,8629009
