구분,항목,자산(*)(IFRS)(천원),자산(*)(IFRS)(천원),유동자산(*)(IFRS)(천원),유동자산(*)(IFRS)(천원),유동부채(*)(IFRS)(천원),유동부채(*)(IFRS)(천원),이익잉여금(결손금)(*)(IFRS)(천원),이익잉여금(결손금)(*)(IFRS)(천원),매출액(수익)(*)(IFRS)(천원),매출액(수익)(*)(IFRS)(천원),매출원가(*)(IFRS)(천원),매출원가(*)(IFRS)(천원),판매비와 관리비(물류원가 등 포함)(*)(IFRS)(천원),판매비와 관리비(물류원가 등 포함)(*)(IFRS)(천원),자본(*)(IFRS)(천원),자본(*)(IFRS)(천원),부채(*)(IFRS)(천원),부채(*)(IFRS)(천원),당기순이익(손실)(IFRS)(천원),당기순이익(손실)(IFRS)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),부채비율(IFRS),부채비율(IFRS),유동비율(IFRS),유동비율(IFRS),* 발행한 주식총수(*)(IFRS)(천원),* 발행한 주식총수(*)(IFRS)(천원)
,년도,2019,2020,2019,2020,2019,2020,2019,2020,2019,2020,2019,2020,2019,2020,2019,2020,2019,2020,2019,2020,2019,2020,2019,2020,2019,2020,2019,2020
회사명,거래소코드,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount
OCI(주),010060,3796677716,3368975278,1020694352,791858357,645108280,541975383,1647968917,1391440531,1766574982,1221978354,1772102900,1161177444,136849411,132462145,2597855212,2334319029,1198822504,1034656249,-717594874,-253611327,2708741,101203055,46.15,44.32,158.22,146.11,23849371,23849371
SK이노베이션(주),096770,16355886773,17727434534,1360416534,1697813665,817468460,1474438747,7882034374,9349004444,3006128697,3808247747,1240007308,1864373852,473366109,614421417,13076680364,14032387062,3279206409,3695047472,792139635,1592008115,1282223223,1865061657,25.08,26.33,166.42,115.15,93713990,93713990
SNT모티브(주),064960,1020642968,1075806483,586208940,609714660,226522810,262210932,630213364,656526671,889996132,877370206,744601552,744375599,57566533,44018326,732449647,755982635,288193321,319823847,61690347,53519085,99664349,132736531,39.35,42.31,258.79,232.53,14623136,14623136
고려아연(주),010130,6942417554,7515657795,3764016044,3984718307,494119578,768473804,6225793487,6562178283,5218822665,5652149468,4415681674,4792368894,73893298,79011023,6345028028,6662040670,597389526,853617125,567066366,561284702,636838138,400721274,9.42,12.81,761.76,518.52,18870000,18870000
그랜드코리아레저(주),114090,906069881,706280227,453913555,344798349,210084490,127925149,532767090,432951320,490752464,184462332,357090945,239547790,37299441,34712857,584954011,485138241,321115870,221141986,72039234,-65068231,114683855,-138424824,54.9,45.58,216.06,269.53,61855670,61855670
금호석유화학(주),011780,3137664765,3451429757,866896332,1189195680,998186078,922531767,1397340962,1791253505,3699122524,3489720117,3242267118,2809647605,156933542,165149187,1764804106,2135826035,1372860659,1315603722,262497365,434323599,448341192,578774701,77.79,61.6,86.85,128.91,33491177,33491177
금호타이어(주),073240,2874759141,2567316576,740429779,769384544,556696319,603126907,-472218478,-895181759,1820850830,1708313284,1470980589,1448864179,270188773,264743021,1167998508,745035227,1706760633,1822281349,-13563637,-403840383,99881977,256465680,146.13,244.59,133,127.57,287260287,287260287
기아(주),000270,38898576000,41591553000,13334847000,15667690000,9571234000,12013478000,20450832000,19866886000,33857781000,34362327000,27896915000,28654868000,4481818000,4538330000,24144672000,23584142000,14753904000,18007411000,1582910000,765221000,2731991000,375060000,61.11,76.35,139.32,130.42,405363347,405363347
네이버(주),035420,6671587334,8823550534,880761993,958002632,908932800,1269469278,6699190677,7803526569,3900013296,4126629313,0,0,2506201301,2685815581,5529546873,7262126496,1142040461,1561424037,1092524543,1196924544,1398627149,1287119455,20.65,21.5,96.9,75.46,164813395,164263395
넥센타이어(주),002350,2644615300,2681863928,861552854,889269627,379293354,371825092,1424626861,1459641143,1620923826,1208579891,1173796648,917895799,263198023,249219089,1543099308,1577885354,1101515992,1103978574,139190135,28640879,262570628,178690453,71.38,69.97,227.15,239.16,104167877,104167877
넷마블(주),251270,4511543913,6514109533,1365153974,457453779,160214259,700383029,195973004,298564753,1251836230,1378429475,0,0,1171591291,1280568989,4187609529,5148107944,323934384,1366001589,28066555,103419586,141204325,144300153,7.74,26.53,852.08,65.31,85744564,85845303
대상(주),001680,2207996552,2329225496,872766785,1071091000,680451303,649132894,735515959,830476767,2457055173,2604922342,1822064907,1886882846,531568415,582498195,1005237852,1075443086,1202758699,1253782410,114753404,115152308,131185409,111096447,119.65,116.58,128.26,165,36018248,36018248
대우조선해양(주),042660,11067648302,10153130187,6813837538,5892255702,4732766707,5097551351,441684332,586505468,8317581776,7041551239,7872048639,6648388646,177474831,240802113,3631508861,3766777264,7436139441,6386352923,-57722249,114537478,2536558667,-465390613,204.77,169.54,143.97,115.59,107205752,107290669
대한유화(주),006650,1898563930,1974315817,457987287,600482955,87531805,59495556,1410775480,1517889075,2059165682,1866482314,1905833537,1655470851,44227616,43008760,1712413196,1819533583,186150734,154782234,100343828,118499672,225521968,298949675,10.87,8.51,523.22,1009.29,6500000,6500000
동국제강(주),001230,5334291668,5249538204,1525735412,1404999563,2538039232,2520164786,576415687,575723787,5055408636,4613655633,4640171505,4120050243,281492205,244907602,2253053603,2363003481,3081238065,2886534723,-129997320,19109408,97148166,563218812,136.76,122.16,60.11,55.75,95432737,95432737
동원시스템즈(주),014820,750864059,835642671,160373299,171305380,135347391,291486211,147918514,175756575,519372094,581843179,457478738,503461731,26166933,26966744,381659559,408341421,369204500,427301249,28451051,40694711,58290147,57597924,96.74,104.64,118.49,58.77,25883869,25883869
두산밥캣(주),241560,3143651545,3222947391,19521468,31990002,64765719,28814784,272449791,354131980,173166014,203908240,0,0,36042003,32777508,3035480646,3117162835,108170899,105784556,110633425,141512956,124831232,146032223,3.56,3.39,30.14,111.02,100249166,100249166
두산인프라코어(주),042670,4965757488,5180809559,1381699200,1543509190,2495209794,1919109341,136448620,111946022,3102184313,2712338251,2512264471,2215960677,411732775,407015193,1475410583,1501648610,3490346905,3679160949,53024293,-37858070,30416338,275682754,236.57,245.01,55.37,80.43,208161279,215931625
두산중공업(주),034020,11360877605,11147216159,3199550608,2970075156,6700897895,6796725464,-105895178,-2002150320,3708635207,3451444903,3318487345,3209753196,302467100,714753893,3440707384,3460677253,7920170221,7686538906,-495190677,-1880174096,-170537822,-639568323,230.19,222.11,47.75,43.7,202146875,374637255
두산퓨얼셀(주),336260,495760902,790187906,408360047,651986171,225303454,264574651,10604519,24493615,221171085,461838982,195524357,411215733,6159075,24589307,166770553,512544166,328990350,277643740,11870980,14190288,121737504,-76031949,,54.17,,246.43,71844226,81844226
디엘(주),000210,10072030499,10168014712,4862904788,7386744708,3321953799,7131781587,4729883037,5168650664,7347747863,859871346,6099050844,732828301,432861960,76779412,5446622030,2046074260,4625408470,8121940452,396878717,500995720,750807047,954014749,84.92,396.95,146.39,103.58,38600000,38600000
디엘이앤씨(주),375500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
롯데관광개발(주),032350,569712213,1205546067,54379815,126955895,240535943,198961796,-247186438,-323717660,82196674,14066103,53319492,9859871,37134620,69635267,314787326,251237471,254924887,954308595,-6335892,-74576904,-17864950,-109995846,80.98,379.84,22.61,63.81,69275662,69275662
롯데쇼핑(주),023530,26964266333,24924204974,3184070137,3715374396,5507224681,5332915517,9688039289,8743149334,9695325161,8708083759,4888608518,4553662568,4535696903,4020413083,10665641822,9598958417,16298624511,15325246557,-753701310,-1031996637,1177270312,880395891,152.81,159.66,57.82,69.67,28288755,28288755
롯데정밀화학(주),004000,1713829989,1719917537,858069352,505361139,280945731,169134997,969040289,1087358691,1310804146,1260405209,1028585827,1028851806,92229622,93000521,1420869122,1539733556,292960867,180183981,195608215,160860805,257631578,255109222,20.62,11.7,305.42,298.79,25800000,25800000
롯데지주(주),004990,7796179618,7936177329,351285363,703367283,717378033,876120027,4316391283,3999002733,389710509,290497522,0,0,148128974,127009465,5400513258,5034760445,2395666360,2901416885,210792688,-307115848,198712503,-197598323,44.36,57.63,48.97,80.28,105896860,105896860
롯데칠성음료(주),005300,3184578603,3383324200,770941930,827250488,906480614,804266652,1842669837,1806237613,2343169358,2161963013,1382297100,1282527036,851922179,782234954,1209076770,1300122831,1975501833,2083201369,-112293698,-16367144,137808170,293901052,163.39,160.23,85.05,102.86,8768770,9750433
롯데케미칼(주),011170,14396226786,15176140842,3480640268,4352122841,1448968626,1939270472,10341239817,10211341726,9179765914,9171305612,8020198219,8339785002,383863298,624776978,11459328978,11599348672,2936897808,3576792171,394375878,115572495,521557562,842562807,25.63,30.84,240.22,224.42,34275419,34275419
롯데하이마트(주),071840,3107565421,3349190376,715664251,988776858,589513081,845840476,748372876,752427529,4026463939,4051729086,3025763350,3045271833,890843353,845381330,1921899643,1925954296,1185665778,1423236080,-99907278,28721346,130356271,370016060,61.69,73.9,121.4,116.9,23607712,23607712
메리츠증권(주),008560,,,,,,,,,,,,,,,,,,,,,,,,,,,,
미래에셋증권(주),006800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보령제약(주),003850,511049761,643556511,231681672,307835991,139207616,116086559,277099258,299770333,524268670,541445422,301274026,320731201,183895672,180397708,286381379,344721610,224668382,298834902,34347745,27047673,47033130,44885073,78.45,86.69,166.43,265.18,44200000,47620000
부광약품(주),003000,400104005,401274059,177066456,198222757,33970743,60451090,335795294,292067549,165993097,166144370,83868388,98440094,69865648,59211070,342942040,296734858,57161965,104539202,-3472792,-5505151,-20275261,2937206,16.67,35.23,521.23,327.91,63531367,64837978
삼성SDI(주),006400,14986191800,15284961778,3342016826,3423162392,2444069129,2858583593,5760745232,5914709092,8250811205,9101397947,6572400739,7459098850,1471004961,1410962641,10948934300,11217617716,4037257500,4067344061,199668522,217316043,839679149,727683637,36.87,36.26,136.74,119.75,70382426,70382426
삼성물산(주),028260,36561826429,44441591861,6875484508,7491103688,7332355557,7870462438,6382773770,6385539261,19983631881,19088822950,17347190699,17052162284,2052941228,1758505309,22558742553,27994526607,14003083876,16447065253,541070882,320230085,-22517278,960938927,62.07,58.75,93.77,95.18,191317483,188514506
삼성바이오로직스(주),207940,5911626512,4367217699,1356261664,1743116044,690505243,588727017,1712622929,342999221,701591860,1164776874,509584425,748981802,100265047,123206526,4354453745,2994841068,1557172767,1372376630,202904099,250968822,10153615,202597144,35.76,45.82,196.42,296.08,66165000,66165000
삼성생명보험(주),032830,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼성에스디에스(주),018260,6576533956,6510160919,4058701291,4021621789,844606774,803493018,4336995617,4417947542,5096158488,4549427072,3827901784,3398509191,576582195,568800474,5482862463,5516760807,1093671494,993400112,520824842,266592371,566601724,673495361,19.95,18.01,480.54,500.52,77377800,77377800
삼성엔지니어링(주),028050,3686124041,3827134159,2146029064,2201337678,2510042957,2351284378,74526018,224410077,4795373705,5020786128,4223091510,4485980456,341066209,277937945,927188730,1208814453,2758935311,2618319706,152524779,232094661,610355583,-138030721,297.56,216.6,85.5,93.62,196000000,196000000
삼성전기(주),009150,5450577874,5823920675,2138097948,2587330149,1010690258,1123038973,2566773901,2825332436,5369118409,5597799214,3839805127,4272999232,1102398011,918132333,4325462430,4604314266,1125115444,1219606408,441672630,357385758,53236780,742813262,26.01,26.49,211.55,230.39,77600680,77600680
삼성전자(주),005930,216180920000,229664427000,72659080000,73798549000,36237164000,44412904000,172288326000,178284102000,154772859000,166311191000,113618444000,116753419000,27039348000,29038798000,177870247000,183316724000,38310673000,46347703000,15353323000,15615018000,22796257000,37509025000,21.54,25.28,200.51,166.16,6792669250,6792669250
삼성중공업(주),010140,13259469294,12680358683,6800225662,6625786311,6884097898,7356363965,1272450139,-145267885,7098805562,6825532312,7149438676,7315384996,599450834,522182862,5143930443,3687160105,8115538850,8993198578,-1351396856,-1428045415,-939991589,-257108734,157.77,243.91,98.78,90.07,630114845,630114845
삼성증권(주),016360,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼성카드(주),029780,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼성화재해상보험(주),000810,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼양식품(주),003230,437855245,516181894,155177111,165775585,148168065,160322952,214812670,264660532,535113844,636777102,394773602,466252848,74296236,90934671,268152688,317453886,169702557,198728008,51295969,57893023,44016584,70290557,63.29,62.6,104.73,103.4,7533015,7533015
세방전지(주),004490,1302078781,1336484562,809422903,841303242,235591858,225249777,996926312,1054708452,1129805365,1077016196,936591480,905617481,86752856,85075394,1052381546,1100891034,249697235,235593528,75929035,60797698,66093258,144936545,23.73,21.4,343.57,373.5,14000000,14000000
신풍제약(주),019170,378480458,483832820,208919352,321373434,132332809,81830253,132349028,139003810,180095840,187327145,110235218,117350956,65364425,63626231,208115530,371519984,170364928,112312836,4424260,1524606,17407534,18563182,81.86,30.23,157.87,392.73,55184990,55184990
쌍용씨앤이(주),003410,2923004937,2923926636,613837407,575199511,535271685,283516442,507435137,1142695735,1044759955,992643779,785656672,701305772,88690514,95271339,1786651406,1671283250,1136353531,1252643386,137323607,134193211,336618195,347326060,63.6,74.95,114.68,202.88,505403280,503859595
씨에스윈드(주),112610,499193668,488730154,227850996,196722254,178710804,113209667,112219249,123183690,603866361,684456953,538073248,617905396,23109485,20507141,280067280,342725060,219126388,146005094,11273666,18990354,79032097,22673634,78.24,42.6,127.5,173.77,17285715,17285715
씨제이(주),001040,2980312113,3185473458,79889999,44607472,92209701,409466153,1718919485,1708975340,181742606,165163104,0,0,107006676,75141496,2783924122,2773979977,196387991,411493481,63281893,52186782,66613516,88474727,7.05,14.83,86.64,10.89,35663733,35663733
씨제이대한통운(주),000120,6664692967,7220688411,1068736251,1244520931,1440862908,1748181098,425196474,503962917,6596274009,6936119891,6043795102,6285131046,376392665,432246409,2913538935,3265842046,3751154032,3954846366,-4915490,95549086,685480047,373111797,128.75,121.1,74.17,71.19,22812344,22812344
씨제이씨지브이(주),079160,2311282516,2477648887,289786614,666345182,482236270,632688932,20394577,-445465582,1046370347,325759755,598651188,0,372512444,529420625,263395793,289521511,2047886723,2188127375,-66062361,-466502070,225801112,-182516166,777.49,755.77,60.09,105.32,21161313,35100000
씨제이제일제당(주),097950,10677387530,9538798386,2722245340,1643758376,2991730223,1984431943,3078597040,3356393446,5882531864,5980828026,4285823891,4245161484,1393050887,1448518689,4634667049,4922994922,6042720481,4615803464,-74461490,340868145,581587867,170462545,130.38,93.76,90.99,82.83,16381619,16381619
아시아나항공(주),020560,12013808762,12370011442,1305858325,1605456357,4016003738,4545724512,-1092562769,-1523814579,5924465030,3559873869,5760820481,3261017611,650357800,361906773,633936413,856766678,11379872349,11513244764,-762944551,-397511485,499340040,-344874249,1795.11,1343.8,32.52,35.32,223235294,74411764
아이에스동서(주),010780,2455273416,3141484961,1582963569,2099132238,739155359,1032543364,653141877,757139165,789731521,931924053,616942166,662689694,118391190,93449219,1075713659,1155331736,1379559757,1986153225,63711293,124567820,-152321166,-172959694,128.25,171.91,214.16,203.3,30892606,30892606
애경산업(주),018250,448167040,431492662,283153817,241742935,97637393,84664968,166982290,167658607,698096024,583711079,361105842,327874463,276870826,233230371,336768283,331525896,111398756,99966766,40865318,11730468,29431958,17715562,33.08,30.15,290.01,285.53,26409935,26409935
에스케이(주),034730,22535086000,23592397000,782375000,1552357000,3313082000,2509629000,9870812000,11301835000,3245516000,3473984000,0,0,1764617000,1815953000,13402562000,14831563000,9132524000,8760834000,1420543000,1716045000,1276702000,1588704000,68.14,59.07,23.61,61.86,70926432,70926432
에스케이네트웍스(주),001740,7673322000,5855439000,3178879000,1937401000,3343764000,2515605000,711897000,692185000,10574129000,8062953000,9951706000,7600730000,661239000,508553000,2092381000,1968769000,5580941000,3886670000,-85962000,3777000,441967000,-79213000,266.73,197.42,95.07,77.02,248301295,248301295
에스케이디스커버리(주),006120,1119310492,1213510966,160695856,256153578,75303533,117491398,1437133723,1438528661,24968480,21009783,0,0,9811962,12073119,965926553,967246308,153383940,246264658,-1319324,16292462,-7554265,289545,15.88,25.46,213.4,218.02,20396310,20396310
에스케이바이오팜(주),326030,76449352,460124971,51751768,410287276,130646899,56450768,-533414956,-766190159,123814229,63013129,514197,3682931,210919358,281177446,-54875419,357814048,131324771,102310923,-90983120,-232185353,-104257226,-230949200,0,28.59,39.61,726.81,65000000,78313250
에스케이씨(주),011790,2833521463,3042148111,378434829,330034555,521935638,582780565,1245084033,1698416252,1229900590,556765066,1046398185,431162476,141516577,112667416,1530950564,1989542057,1302570899,1052606054,14016265,460249057,56227106,-868693,85.08,52.91,72.51,56.63,37534555,37868298
에스케이케미칼(주),285130,1902471752,1744584816,583836269,542386697,654992967,461440723,430985192,639842840,1184206016,921133614,924650740,706667027,167972815,166067396,684443837,885073321,1218027915,859511495,27097053,215742625,94648184,119390212,177.96,97.11,89.14,117.54,13200066,13200066
에스케이텔레콤(주),017670,30839367000,31986451000,5011363000,5047115000,5057478000,5076404000,16678787000,16684640000,11416215000,11746630000,0,0,10466106000,10723563000,17389739000,17349858000,13449628000,14636593000,980338000,758792000,3115408000,4387809000,77.34,84.36,99.09,99.42,80745711,80745711
에스케이하이닉스(주),000660,57710070000,64071005000,11725531000,13310241000,6258882000,7488366000,40694965000,44221664000,25320755000,30524987000,18387763000,20753412000,4949753000,5225698000,46044221000,49574304000,11665849000,14496701000,1484294000,4217841000,4790532000,10890209000,25.34,29.24,187.34,177.75,731530000,731530000
에쓰-오일(주),010950,16455433000,15671847000,5623541000,4982211000,5758293000,6552943000,4837585000,4021258000,24393980000,16735504000,23360274000,17283048000,613656000,552968000,6486120000,5676593000,9969313000,9995254000,62602000,-799920000,688922000,1630113000,153.7,176.08,97.66,76.03,116604719,116604719
에이치디씨(주),012630,2037641903,2108790887,227667317,119156412,48758820,145600250,3120891091,3128228471,50099435,52838715,14972203,14824728,7779220,7692386,1963690002,1937745323,73951901,171045564,97671722,19091938,36609739,-5981435,3.77,8.83,466.93,81.84,59741721,59741721
에이치디씨현대산업개발(주),294870,4407263472,6133753526,3223728496,4748857003,1720084877,2468899463,628460314,839798029,4211144007,3659511873,3476149553,2891200103,186572906,185420762,2238474489,2767688560,2168788983,3366064966,425722728,238555769,-120782391,-263399142,96.89,121.62,187.42,192.35,43938220,65907330
에이치엠엠(주),011200,6343498000,8628337000,1178039000,2095233000,1644247000,2820349000,-4563881000,-4595332000,5333534000,6223944000,5534869000,5141457000,127241000,126525000,1070034000,1575617000,5273464000,7052720000,-663717000,58852000,337775000,1320874000,492.83,447.62,71.65,74.29,318410052,326726323
엔에이치투자증권(주),005940,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엘아이지넥스원(주),079550,2315222479,2592840147,1380372678,1544185846,1235666498,1377842609,310704333,358026031,1451894505,1599434376,1314092328,1410162929,119703085,125218758,633974398,672508652,1681248081,1920331495,3185324,57881698,150401628,190761856,265.19,285.55,111.71,112.07,22000000,22000000
엘지디스플레이(주),034220,27382680000,26705202000,7081228000,6948054000,9140483000,10180660000,6625901000,6223043000,21658329000,22799273000,20834648000,21566984000,2607926000,2045268000,10666093000,10263235000,16716587000,16441967000,-2639893000,-513262000,1792225000,1311814000,156.73,160.2,77.47,68.25,357815700,357815700
엘지전자(주),066570,27474891000,29699987000,7700203000,9669743000,10540720000,12101343000,5006105000,6018118000,28654467000,28435323000,22202787000,21356432000,6285671000,6331900000,8893330000,9921733000,18581561000,19778254000,-196118000,1211549000,349064000,2223341000,208.94,199.34,73.05,79.91,180833806,180833806
영진약품(주),003520,200445669,188100730,111330071,98674577,39787136,30140067,13731263,12411954,220516292,208463640,140742814,135000232,69791448,73081954,115751148,114431839,84694521,73668890,5029924,-133121,9282595,14497598,73.17,64.38,279.81,327.39,182892731,182892731
일양약품(주),007570,363916817,342300350,108741186,96682696,149129000,147301519,4966310,3333878,200001578,214511254,126059057,133839292,67627928,74054452,180961710,178557667,182955107,163742683,4102111,616726,21647607,32677695,101.1,91.7,72.92,65.64,19530744,19530744
일진머티리얼즈(주),020150,647030493,681617346,250799326,295010193,42584781,40197437,136781085,153067023,294788671,291788657,240169479,246645984,20637729,21935892,554232429,584126209,92798065,97491137,40081387,19506333,78125230,35777753,16.74,16.69,588.94,733.9,46110835,46110835
제이더블유중외제약(주),001060,568409023,536924132,327581640,287699806,275061930,223633380,85027003,63613799,510602018,542634874,349416441,360168315,179264541,180364862,228323080,206606608,340085943,330317523,-24450506,-14948888,56473538,68541153,148.95,159.88,119.09,128.65,21636722,22246324
중소기업은행,024110,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지에스건설(주),006360,11474687208,11871047259,5997754351,5936188694,4918003544,4526630289,2966910723,3231085865,9485125995,8890992063,8227276948,7512489195,576917973,695321642,4161407044,4420084073,7313280164,7450963186,441560074,326944366,790807706,647870870,175.74,168.57,121.96,131.14,80097804,80708203
코스맥스(주),192820,750534415,739510630,334407169,295605303,366577415,359706348,163465912,117211810,739010731,765400192,639674431,643627655,59155686,55918753,302376908,253257080,448157507,486253550,92643001,-34558144,54852326,15642648,148.21,192,91.22,82.18,10049509,10049509
코오롱인더스트리(주),120110,4059763206,3848250338,1341111081,1135543401,1688900349,1506077440,769143159,988109272,3222420900,2916642688,2262495125,2050464544,781573667,723078942,1810830902,2022889183,2248932303,1825361155,13621220,247248990,86352011,335778484,124.19,90.24,79.41,75.4,29746700,29746700
코웨이(주),021240,2693165172,2711140028,907437958,818258698,1440436155,1223887014,955468295,1242302901,2531011641,2592546949,906420702,946728590,1229930918,1190316994,1083096392,1385974778,1610068780,1325165250,286540553,280550609,450660369,481837838,148.65,95.61,63,66.86,73799619,73799619
쿠쿠홀딩스(주),192400,599296613,602357819,45367758,24603531,2520228,2944629,991091911,990033452,30737795,26522599,184270,187035,5338619,6269979,553687875,555448066,45608738,46909753,18011391,17997266,19849889,18035196,8.24,8.45,1800.15,835.54,7112437,7112437
쿠쿠홈시스(주),284740,557976654,623793867,221728397,294157949,95474647,99766881,69841295,142942176,467988951,562838132,222739142,225831326,176387009,221343581,428482814,501583696,129493840,122210172,41933133,76870357,5157436,57119219,30.22,24.36,232.24,294.85,22437330,22437330
키움증권(주),039490,,,,,,,,,,,,,,,,,,,,,,,,,,,,
태광산업(주),003240,3068983391,3511193089,1590129073,1462051120,303789657,257987139,2543252795,3022919545,2027159119,1495625845,1743826435,1359955698,85339870,87777992,2555973064,3015481449,513010327,495711640,53673248,479950715,163346539,130316306,20.07,16.44,523.43,566.71,1113400,1113400
팬오션(주),028670,4394868000,4542736000,598779000,547012000,684709000,559547000,222432000,313403000,2155925000,2102895000,1894722000,1829130000,52730000,52452000,2867388000,2777220000,1527480000,1765516000,153711000,90928000,395477000,457321000,53.27,63.57,87.45,97.76,534569207,534569512
하이트진로(주),000080,3132012663,3101028156,643041403,730899228,1242828515,1293888959,292460521,299505302,1830147019,2049288474,1068130525,1178778325,681721775,689741398,1081806251,1088851032,2050206412,2012177123,-40690937,52119645,15149775,348004914,189.52,184.8,51.74,56.49,71268446,71268446
한국가스공사(주),036460,37259513824,34147454348,8427929743,6646681862,8648451071,6924844209,4293419567,4162458547,23903847012,20004187241,22354726855,18687239041,363364111,366397462,6704200739,6558740785,30555313085,27588713563,81613695,-93602410,1309112960,2922032911,455.76,420.64,97.45,95.98,92313000,92313000
한국앤컴퍼니(주),000240,2333723849,2314696055,217280496,204785174,19584589,19335028,913288693,917657409,82651352,64144787,0,0,24327428,25368899,2252292950,2255574054,81430899,59122002,53195937,35120267,54995911,33854450,3.62,2.62,1109.45,1059.14,93020173,93020173
한국전력공사(주),015760,109809255000,113103476000,8741190000,9289189000,18123140000,19034998000,33783976000,35668356000,58933180000,57989410000,59907852000,53396106000,1873675000,1808159000,51458574000,53331431000,58350681000,59772045000,-2594957000,1951498000,1668369000,7242723000,113.39,112.08,48.23,48.8,641964077,641964077
한국전력기술(주),052690,735206871,699243766,257592435,235805180,223522062,186296228,495248675,502096768,448634709,431722626,324495588,308694175,80070192,94020824,492212759,499074513,242994111,200169253,26397847,20160083,27080821,15173647,49.37,40.11,115.24,126.58,38220000,38220000
한국조선해양(주),009540,11272534689,10898783668,1425352407,1422140736,362235159,204371746,16487071230,16154810967,3356828769,172383351,3160262335,118605302,171961641,90960331,10861690982,10550514769,410843707,348268899,-74657811,-373003928,-628634422,27129693,3.78,3.3,393.49,695.86,70773116,70773116
한국콜마(주),161890,1006724225,1081269438,307019951,463329528,357383898,251557181,242087801,353163887,854579664,609200623,736577863,514065825,60004168,44778473,483880560,594936686,522843665,486332752,40050590,120833711,70380903,106230173,108.05,81.75,85.91,184.18,22881180,22881180
한국타이어앤테크놀로지(주),161390,6069618535,6429887711,1796683986,2008798930,999164648,837189370,2161036788,2198645711,3173056806,2862380052,2360726492,2122010058,714940775,646224199,4668068350,4671291693,1401550185,1758596019,241217965,87353182,374302117,313359733,30.02,37.65,179.82,239.95,123875069,123875069
한국투자금융지주(주),071050,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국항공우주산업(주),047810,4320002472,5114001345,2589084019,3116348185,2188216911,2611230459,571370660,629887110,3108623557,2811967926,2625186931,2477732498,200134456,185644612,1187061321,1245577771,3132941151,3868423574,175665184,81635522,356980628,739306959,263.92,310.57,118.32,119.34,97475107,97475107
한미사이언스(주),008930,608190470,607103608,10527174,8790540,50268042,49766674,229106170,223792782,34892677,35553207,0,0,24776839,23759916,533354181,526715980,74836289,80387628,5633983,7790764,9756988,12641783,14.03,15.26,20.94,17.66,64742860,66011149
한미약품(주),128940,1544610335,1502397758,416538419,351235784,405504429,463352609,153945821,155453206,863646889,872404731,438374578,453195777,372412549,393047253,545447088,541761663,999163247,960636095,24256749,3019217,-33731535,106835124,183.18,177.32,102.72,75.8,11612184,11843029
한세실업(주),105630,864406800,865508205,568886537,611733640,443484320,368762370,353946035,374651440,1533976205,1657328004,1324411458,1469554266,131769611,133758143,403788700,424441165,460618100,441067041,11585233,43463868,62873396,10826111,114.07,103.92,128.28,165.89,40000000,40000000
한온시스템(주),018880,4417199126,4814754096,1126949234,1467877083,808193044,1179179136,1162288565,994463824,2668852091,2680084688,2276850000,2338745447,270936400,284734664,1436729044,1302979057,2980470082,3511775039,67428851,-23055700,247536828,186979051,207.45,269.52,139.44,124.48,533800000,533800000
한올바이오파마(주),009420,191071351,219860325,133998657,129174350,27379962,23067191,-3296273,17499005,108452042,88602270,45671625,37951232,45866402,44638242,140196172,181161355,50875178,38698969,19000569,19863538,20249259,976174,36.29,21.36,489.4,559.99,52240638,52240638
한일현대시멘트(주),006390,560204794,562929272,223543483,199826548,276439435,237205437,44231446,92224361,384112775,334267704,299731500,233950004,49157868,43190708,204614326,255874139,355590468,307055133,41318306,62782324,40865515,64655659,173.79,120,80.87,84.24,16821290,16821290
한전케이피에스(주),051600,1356983048,1345856502,779763633,755453939,247737001,254495470,1053606684,1040721493,1244613358,1299186315,968915385,1093613990,80443923,72230856,1062226205,1049341013,294756843,296515489,157737146,85916349,163882424,74158850,27.75,28.26,314.75,296.84,45000000,45000000
한화생명보험(주),088350,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한화솔루션(주),009830,8244597144,10626414632,1286347194,2092799426,1440102687,2408747376,3475671767,4149575142,3449339121,5717317072,3032067080,4694751632,283348989,597561695,5015671084,5724221507,3228926059,4902193126,-66802470,713856041,227332328,871512950,64.38,85.64,89.32,86.88,162603027,160988234
한화시스템(주),272210,2406651687,2702028309,1520711432,1677782677,1167702831,1357821870,91929664,167418451,1519479274,1631867960,1284541411,1384509864,149184325,148183949,968423637,1044147436,1438228050,1657880873,72921871,103954739,408719281,179642320,148.51,158.78,130.23,123.56,110230389,110230389
