구분,년도,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
,항목,자산(*)(IFRS)(천원),유동자산(*)(IFRS)(천원),유동부채(*)(IFRS)(천원),이익잉여금(결손금)(*)(IFRS)(천원),매출액(수익)(*)(IFRS)(천원),매출원가(*)(IFRS)(천원),판매비와 관리비(물류원가 등 포함)(*)(IFRS)(천원),자본(*)(IFRS)(천원),부채(*)(IFRS)(천원),당기순이익(손실)(IFRS)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),부채비율(IFRS),유동비율(IFRS),* 발행한 주식총수(*)(IFRS)(천원),종가(원),자산(*)(IFRS)(천원),유동자산(*)(IFRS)(천원),유동부채(*)(IFRS)(천원),이익잉여금(결손금)(*)(IFRS)(천원),매출액(수익)(*)(IFRS)(천원),매출원가(*)(IFRS)(천원),판매비와 관리비(물류원가 등 포함)(*)(IFRS)(천원),자본(*)(IFRS)(천원),부채(*)(IFRS)(천원),당기순이익(손실)(IFRS)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),부채비율(IFRS),유동비율(IFRS),* 발행한 주식총수(*)(IFRS)(천원),종가(원)
회사명,거래소코드,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount
(주)경방,000050,1296265431,223798878,150525799,739385682,253552382,151563044,63022915,740731873,555533558,22223943,65270564,75,148.68,27415270,9280,1212393834,67253983,222570410,762095096,226061886,129916804,70775739,759469891,452923943,26011323,46548127,59.64,30.22,27415270,12400
(주)경보제약,214390,237816742,124176490,83814952,97311975,191706189,150990036,34522080,149163504,88653237,5285239,23668111,59.43,148.16,23906860,8260,253239177,138192492,93763557,104207442,215285095,162820355,43803308,156056794,97182383,9404446,20795227,62.27,147.38,23906860,16350
(주)경인양행,012610,381063538,172620331,154357193,141210052,245244968,188265694,42802896,201086327,179977211,4797711,-2222389,89.5,111.83,40786365,7740,386097816,164228540,152718701,128953013,214380449,173340842,46476293,191584529,194513287,-10222700,37263507,101.53,107.54,41276365,7040
(주)광명전기,017040,140591786,77171530,40976226,52563681,125009206,111565450,6130677,94186043,46405743,6470387,23614371,49.27,188.33,43337615,2280,149581712,93189683,45269374,57413459,112536086,101557058,6248569,98896645,50685068,4892166,7130296,51.25,205.86,43337615,2010
(주)광주신세계,037710,752423111,103160925,75664224,641357396,154879496,18569711,81207140,661189861,91233250,47668959,74340570,13.8,136.34,1600000,164000,784428251,142419329,70812887,678435438,147508454,15955627,83242337,698267903,86160349,43159504,50700002,12.34,201.12,1600000,153000
(주)국동,005320,96856085,54839302,25921567,4941438,116180044,99266447,26450412,54349558,42506527,-6989987,9576372,78.21,211.56,27596156,1235,135210358,88622529,61596909,5562046,167078106,108223364,28924547,69183256,66027101,620607,34078547,95.44,143.87,38845864,4200
(주)국보,001140,57467353,17297097,36694538,-18009600,58296078,56501133,3316865,12278837,45188516,-9851123,-6376380,368.02,47.14,23966505,2435,74173160,26063063,36221931,-27668270,53288999,51468834,9354277,31202280,42970881,-10080819,-9671738,137.72,71.95,49376445,1805
(주)금비,008870,,,,,,,,,,,,,,,,155700474,36771563,43040279,69419869,79341217,61779871,20041398,81974135,73726339,-1772031,7820956,89.94,85.44,1000000,57200
(주)금양,001570,171931897,61997758,125859242,-9800975,135915020,116450575,14192700,35004819,136927078,-12752836,-8115181,391.17,49.26,44048135,2400,160123582,49189528,62328683,-13739476,120928396,103226767,13738016,46372202,113751381,-4095630,6371409,245.3,78.92,44048135,6620
(주)금호에이치티,214330,314666069,183830342,117617127,95419078,221734443,209805966,7398106,180769966,133896103,1794762,12110982,74.07,156.3,23608582,5880,333352730,184557928,106106677,85061372,181173914,177410041,8236134,226810334,106542395,-10619831,15821335,46.97,173.94,117904727,2640
