구분,년도,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
,항목,자산(*)(IFRS)(천원),유동자산(*)(IFRS)(천원),유동부채(*)(IFRS)(천원),이익잉여금(결손금)(*)(IFRS)(천원),매출액(수익)(*)(IFRS)(천원),매출원가(*)(IFRS)(천원),판매비와 관리비(물류원가 등 포함)(*)(IFRS)(천원),자본(*)(IFRS)(천원),부채(*)(IFRS)(천원),당기순이익(손실)(IFRS)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),부채비율(IFRS),유동비율(IFRS),* 발행한 주식총수(*)(IFRS)(천원),종가(원),자산(*)(IFRS)(천원),유동자산(*)(IFRS)(천원),유동부채(*)(IFRS)(천원),이익잉여금(결손금)(*)(IFRS)(천원),매출액(수익)(*)(IFRS)(천원),매출원가(*)(IFRS)(천원),판매비와 관리비(물류원가 등 포함)(*)(IFRS)(천원),자본(*)(IFRS)(천원),부채(*)(IFRS)(천원),당기순이익(손실)(IFRS)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),부채비율(IFRS),유동비율(IFRS),* 발행한 주식총수(*)(IFRS)(천원),종가(원)
회사명,거래소코드,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount
(주)경방,000050,1226545382,88159568,102888605,721795950,279085217,177815403,62297979,729185709,497359673,29198252,29443002,68.21,85.68,27415270,10800,1296265431,223798878,150525799,739385682,253552382,151563044,63022915,740731873,555533558,22223943,65270564,75,148.68,27415270,9280
(주)경보제약,214390,221622993,128936315,69317865,97110586,201343596,152082417,31994604,149012165,72610828,13116049,-1138159,48.73,186.01,23906860,10250,237816742,124176490,83814952,97311975,191706189,150990036,34522080,149163504,88653237,5285239,23668111,59.43,148.16,23906860,8260
(주)경인양행,012610,344908257,165167110,127936086,138420161,222659442,169805543,40878853,198237400,146670857,7419717,911833,73.99,129.1,40396365,5800,381063538,172620331,154357193,141210052,245244968,188265694,42802896,201086327,179977211,4797711,-2222389,89.5,111.83,40786365,7740
(주)광명전기,017040,124159091,59981263,30574801,46366300,96949804,87318774,6660054,87989865,36169226,3182514,-4019510,41.11,196.18,43337615,2620,140591786,77171530,40976226,52563681,125009206,111565450,6130677,94186043,46405743,6470387,23614371,49.27,188.33,43337615,2280
(주)광주신세계,037710,696204982,77504431,74818605,599281088,135213362,17733154,67411400,620656716,75548265,45093180,53868560,12.17,103.59,1600000,180000,752423111,103160925,75664224,641357396,154879496,18569711,81207140,661189861,91233250,47668959,74340570,13.8,136.34,1600000,164000
(주)국동,005320,80727956,46980024,38965464,11931426,136811631,115258052,19870987,41762492,38965464,1351547,-4000973,93.3,120.57,13740480,2690,96856085,54839302,25921567,4941438,116180044,99266447,26450412,54349558,42506527,-6989987,9576372,78.21,211.56,27596156,1235
(주)국보,001140,45599283,11593846,27888972,-8815188,66929948,64102691,7466319,11578143,34021141,-4038217,-5954554,293.84,41.57,1682304,11350,57467353,17297097,36694538,-18009600,58296078,56501133,3316865,12278837,45188516,-9851123,-6376380,368.02,47.14,23966505,2435
(주)금비,008870,,,,,,,,,,,,,,,,151412728,34312672,39318493,72330596,91480486,68894781,21169395,84602682,66810046,2736847,8170826,78.97,87.27,1000000,64200
(주)금양,001570,155507052,48188432,103571108,6221260,151676398,131231107,13928604,49187838,106319214,16116052,-528376,216.15,46.53,43226540,2335,171931897,61997758,125859242,-9800975,135915020,116450575,14192700,35004819,136927078,-12752836,-8115181,391.17,49.26,44048135,2400
(주)금호에이치티,214330,230268876,138884192,72419369,92446193,189250383,174071615,7664778,131065067,99203809,7102658,18944987,75.69,191.78,15831019,7030,314666069,183830342,117617127,95419078,221734443,209805966,7398106,180769966,133896103,1794762,12110982,74.07,156.3,23608582,5880
(주)까뮤이앤씨,013700,142240175,42850829,62380687,19022486,116296828,104503933,7742491,59562903,82677272,1738796,-6807595,138.81,68.69,45152280,1330,168876167,74633980,52784080,30448585,283420655,255158649,13416524,70932062,97944105,13494869,7627840,138.08,141.39,45152280,1270
